2025-09-12 08:19: Experiment log path in: /root/tecGPT/model/SAVE/METR_LA
2025-09-12 08:19: Train Epoch 1: 2880/2996 Loss: 3.224741
2025-09-12 08:19: Train Epoch 1: 2900/2996 Loss: 3.139984
2025-09-12 08:19: Train Epoch 1: 2920/2996 Loss: 3.393332
2025-09-12 08:19: Train Epoch 1: 2940/2996 Loss: 4.543213
2025-09-12 08:19: Train Epoch 1: 2960/2996 Loss: 2.882100
2025-09-12 08:19: Train Epoch 1: 2980/2996 Loss: 3.065326
2025-09-12 08:19: **********Train Epoch 1: averaged Loss: 4.013542
2025-09-12 08:19: **********Val Epoch 1: average Loss: 3.407269
2025-09-12 08:19: *********************************Current best model saved!
2025-09-12 08:19: Total training time: 0.3020min, best loss: 3.407269
2025-09-12 08:19: Horizon 01, MAE: 3.75, RMSE: 7.36, MAPE: 11.0395, CORR:0.3194%
2025-09-12 08:19: Horizon 02, MAE: 3.73, RMSE: 7.32, MAPE: 10.9528, CORR:0.3095%
2025-09-12 08:19: Horizon 03, MAE: 3.70, RMSE: 7.26, MAPE: 10.7969, CORR:0.3089%
2025-09-12 08:19: Horizon 04, MAE: 3.68, RMSE: 7.24, MAPE: 10.7478, CORR:0.3086%
2025-09-12 08:19: Horizon 05, MAE: 3.67, RMSE: 7.23, MAPE: 10.7279, CORR:0.3102%
2025-09-12 08:19: Horizon 06, MAE: 3.67, RMSE: 7.23, MAPE: 10.7158, CORR:0.3110%
2025-09-12 08:19: Horizon 07, MAE: 3.67, RMSE: 7.23, MAPE: 10.7147, CORR:0.3110%
2025-09-12 08:19: Horizon 08, MAE: 3.86, RMSE: 7.64, MAPE: 11.7971, CORR:0.3362%
2025-09-12 08:19: Horizon 09, MAE: 3.96, RMSE: 7.83, MAPE: 12.0194, CORR:0.3030%
2025-09-12 08:19: Horizon 10, MAE: 4.08, RMSE: 8.07, MAPE: 12.5971, CORR:0.3008%
2025-09-12 08:19: Horizon 11, MAE: 4.20, RMSE: 8.28, MAPE: 12.9979, CORR:0.2916%
2025-09-12 08:19: Horizon 12, MAE: 4.31, RMSE: 8.50, MAPE: 13.5740, CORR:0.2884%
2025-09-12 08:19: Average Horizon, MAE: 3.86, RMSE: 7.61, MAPE: 11.5567%, CORR:0.3079
